remote_share,mean_solo_skill,rep,seed,velocity,avg_wait,blockers_resolved,completed_tasks
0.0,0.5,17,5002700,687,1.7959183673469388,49,264
0.0,0.5,18,5002800,692,1.896551724137931,58,244
0.0,0.5,19,5002900,701,2.0476190476190474,42,244
0.2,0.5,0,5001200,689,2.2954545454545454,44,249
0.2,0.5,1,5001300,679,2.353846153846154,65,245
0.2,0.5,2,5001400,663,2.7818181818181817,55,240
0.2,0.5,3,5001500,686,2.4893617021276597,47,242
0.2,0.5,4,5001600,674,2.6666666666666665,48,245
0.2,0.5,5,5001700,679,2.3653846153846154,52,245
0.2,0.5,6,5001800,676,2.627450980392157,51,250
0.2,0.5,7,5001900,669,3.0454545454545454,44,253
0.2,0.5,8,5002000,675,2.3225806451612905,62,245
0.2,0.5,9,5002100,670,2.559322033898305,59,250
0.2,0.5,10,5002200,677,2.660377358490566,53,256
0.2,0.5,11,5002300,677,1.8823529411764706,51,252
0.2,0.5,12,5002400,683,2.3617021276595747,47,260
0.2,0.5,13,5002500,689,2.0491803278688523,61,256
0.2,0.5,14,5002600,677,2.418181818181818,55,273
0.2,0.5,15,5002700,681,2.232142857142857,56,261
0.2,0.5,16,5002800,681,2.7254901960784315,51,239
0.2,0.5,17,5002900,675,3.127659574468085,47,234
0.2,0.5,18,5003000,672,2.772727272727273,44,239
0.2,0.5,19,5003100,681,2.488888888888889,45,252
0.4,0.5,0,5001400,667,3.02,50,240
0.4,0.5,1,5001500,678,2.8,50,239
0.4,0.5,2,5001600,672,2.8085106382978724,47,244
0.4,0.5,3,5001700,661,2.7419354838709675,62,239
0.4,0.5,4,5001800,685,2.510204081632653,49,254
0.4,0.5,5,5001900,664,3.382978723404255,47,251
0.4,0.5,6,5002000,661,3.0327868852459017,61,240
0.4,0.5,7,5002100,660,3.392156862745098,51,246
0.4,0.5,8,5002200,672,2.7916666666666665,48,255
0.4,0.5,9,5002300,664,2.8679245283018866,53,247
0.4,0.5,10,5002400,677,3.0,41,257
0.4,0.5,11,5002500,689,2.2641509433962264,53,256
0.4,0.5,12,5002600,672,2.759259259259259,54,270
0.4,0.5,13,5002700,658,3.036363636363636,55,254
0.4,0.5,14,5002800,662,2.8214285714285716,56,233
0.4,0.5,15,5002900,677,3.1315789473684212,38,235
0.4,0.5,16,5003000,677,2.7,50,240
0.4,0.5,17,5003100,659,2.9245283018867925,53,246
0.4,0.5,18,5003200,671,2.8444444444444446,45,250
0.4,0.5,19,5003300,679,2.456140350877193,57,249
0.6,0.5,0,5001600,660,3.2264150943396226,53,241
0.6,0.5,1,5001700,636,3.34375,64,232
0.6,0.5,2,5001800,659,3.3333333333333335,45,245
0.6,0.5,3,5001900,649,3.5925925925925926,54,245
0.6,0.5,4,5002000,667,2.5,56,243
0.6,0.5,5,5002100,655,3.3518518518518516,54,245
0.6,0.5,6,5002200,673,3.1,50,252
0.6,0.5,7,5002300,673,3.0444444444444443,45,248
0.6,0.5,8,5002400,672,3.7804878048780486,41,254
0.6,0.5,9,5002500,648,3.9591836734693877,49,239
0.6,0.5,10,5002600,656,3.0,61,263
0.6,0.5,11,5002700,675,3.088888888888889,45,259
0.6,0.5,12,5002800,673,3.0,47,237
0.6,0.5,13,5002900,672,3.3404255319148937,47,232
0.6,0.5,14,5003000,672,3.13953488372093,43,239
0.6,0.5,15,5003100,636,3.810344827586207,58,239
0.6,0.5,16,5003200,669,2.314814814814815,54,250
0.6,0.5,17,5003300,667,2.6507936507936507,63,244
0.6,0.5,18,5003400,640,3.764705882352941,51,236
0.6,0.5,19,5003500,671,3.3333333333333335,39,240
0.8,0.5,0,5001800,645,3.576923076923077,52,240
0.8,0.5,1,5001900,630,5.045454545454546,44,238
0.8,0.5,2,5002000,646,3.9591836734693877,49,235
0.8,0.5,3,5002100,655,3.5961538461538463,52,243
0.8,0.5,4,5002200,662,3.4489795918367347,49,247
0.8,0.5,5,5002300,657,3.627906976744186,43,244
0.8,0.5,6,5002400,657,4.175,40,249
0.8,0.5,7,5002500,660,3.5714285714285716,49,243
0.8,0.5,8,5002600,652,3.7872340425531914,47,261
0.8,0.5,9,5002700,625,4.267857142857143,56,243
0.8,0.5,10,5002800,638,4.4423076923076925,52,222
0.8,0.5,11,5002900,661,3.9130434782608696,46,227
0.8,0.5,12,5003000,664,3.4081632653061225,49,237
0.8,0.5,13,5003100,659,3.2244897959183674,49,246
0.8,0.5,14,5003200,659,3.12,50,245
0.8,0.5,15,5003300,645,3.5,54,238
0.8,0.5,16,5003400,635,4.346153846153846,52,233
0.8,0.5,17,5003500,660,3.8536585365853657,41,237
0.8,0.5,18,5003600,657,3.4565217391304346,46,252
0.8,0.5,19,5003700,646,3.253968253968254,63,250
1.0,0.5,0,5002000,637,4.089285714285714,56,231
1.0,0.5,1,5002100,656,3.8297872340425534,47,244
1.0,0.5,2,5002200,642,3.8679245283018866,53,241
1.0,0.5,3,5002300,641,4.525,40,239
1.0,0.5,4,5002400,656,4.073170731707317,41,248
1.0,0.5,5,5002500,648,3.6346153846153846,52,239
1.0,0.5,6,5002600,650,4.255813953488372,43,260
1.0,0.5,7,5002700,626,4.275862068965517,58,242
1.0,0.5,8,5002800,626,4.407407407407407,54,220
1.0,0.5,9,5002900,655,4.3061224489795915,49,224
1.0,0.5,10,5003000,647,4.2272727272727275,44,231
1.0,0.5,11,5003100,647,4.340909090909091,44,242
1.0,0.5,12,5003200,670,3.1739130434782608,46,249
1.0,0.5,13,5003300,630,4.403846153846154,52,233
1.0,0.5,14,5003400,648,3.8043478260869565,46,238
1.0,0.5,15,5003500,667,4.321428571428571,28,240
1.0,0.5,16,5003600,652,4.3023255813953485,43,249
1.0,0.5,17,5003700,650,4.229166666666667,48,250
1.0,0.5,18,5003800,668,3.1842105263157894,38,253
1.0,0.5,19,5003900,662,4.029411764705882,34,262
0.0,0.7,0,7001000,694,1.8444444444444446,45,247
0.0,0.7,1,7001100,691,1.4339622641509433,53,268
0.0,0.7,2,7001200,702,1.4042553191489362,47,273
0.0,0.7,3,7001300,691,2.0434782608695654,46,255
0.0,0.7,4,7001400,694,1.7450980392156863,51,255
0.0,0.7,5,7001500,686,1.830188679245283,53,268
0.0,0.7,6,7001600,697,1.6428571428571428,42,274
0.0,0.7,7,7001700,699,1.4318181818181819,44,260
0.0,0.7,8,7001800,694,1.6363636363636365,55,258
0.0,0.7,9,7001900,702,1.4363636363636363,55,261
0.0,0.7,10,7002000,705,1.4038461538461537,52,249
0.0,0.7,11,7002100,693,1.5,60,259
0.0,0.7,12,7002200,697,1.34,50,256
0.0,0.7,13,7002300,688,1.5,58,254
0.0,0.7,14,7002400,700,1.2678571428571428,56,252
0.0,0.7,15,7002500,697,1.6,50,258
0.0,0.7,16,7002600,701,1.5,58,261
0.0,0.7,17,7002700,692,1.4,65,249
0.0,0.7,18,7002800,693,1.8571428571428572,42,252
0.0,0.7,19,7002900,683,1.5396825396825398,63,252
0.2,0.7,0,7001200,690,1.8070175438596492,57,267
0.2,0.7,1,7001300,699,1.392156862745098,51,256
0.2,0.7,2,7001400,695,1.6,55,256
0.2,0.7,3,7001500,689,1.510204081632653,49,270
0.2,0.7,4,7001600,703,1.3409090909090908,44,276
0.2,0.7,5,7001700,694,1.6382978723404256,47,259
0.2,0.7,6,7001800,671,2.263157894736842,57,250
0.2,0.7,7,7001900,693,1.646153846153846,65,257
0.2,0.7,8,7002000,699,1.8888888888888888,45,247
0.2,0.7,9,7002100,687,2.022727272727273,44,257
0.2,0.7,10,7002200,689,1.8,45,254
0.2,0.7,11,7002300,677,2.1296296296296298,54,250
0.2,0.7,12,7002400,694,1.5555555555555556,54,250
0.2,0.7,13,7002500,693,1.7358490566037736,53,255
0.2,0.7,14,7002600,680,1.7301587301587302,63,254
0.2,0.7,15,7002700,692,1.5737704918032787,61,249
0.2,0.7,16,7002800,696,1.6666666666666667,45,253
0.2,0.7,17,7002900,676,1.9193548387096775,62,250
0.2,0.7,18,7003000,694,1.6037735849056605,53,262
0.2,0.7,19,7003100,692,1.9,50,241
0.4,0.7,0,7001400,687,1.7254901960784315,51,253
0.4,0.7,1,7001500,689,1.7391304347826086,46,270
0.4,0.7,2,7001600,700,1.725,40,275
0.4,0.7,3,7001700,676,1.849056603773585,53,253
0.4,0.7,4,7001800,683,2.1016949152542375,59,253
0.4,0.7,5,7001900,685,2.0677966101694913,59,253
0.4,0.7,6,7002000,694,1.702127659574468,47,246
0.4,0.7,7,7002100,687,1.9387755102040816,49,257
0.4,0.7,8,7002200,694,1.68,50,255
0.4,0.7,9,7002300,675,1.8275862068965518,58,250
0.4,0.7,10,7002400,694,1.816326530612245,49,250
0.4,0.7,11,7002500,692,1.694915254237288,59,254
0.4,0.7,12,7002600,685,1.901639344262295,61,255
0.4,0.7,13,7002700,692,1.564516129032258,62,249
0.4,0.7,14,7002800,690,2.1052631578947367,38,250
0.4,0.7,15,7002900,675,2.4285714285714284,49,249
0.4,0.7,16,7003000,689,1.7222222222222223,54,260
0.4,0.7,17,7003100,692,2.097560975609756,41,241
0.4,0.7,18,7003200,690,1.4038461538461537,52,251
0.4,0.7,19,7003300,693,1.4927536231884058,69,235
0.6,0.7,0,7001600,685,2.0697674418604652,43,270
0.6,0.7,1,7001700,680,2.1454545454545455,55,253
0.6,0.7,2,7001800,688,2.1777777777777776,45,256
0.6,0.7,3,7001900,676,2.3962264150943398,53,250
0.6,0.7,4,7002000,676,2.0847457627118646,59,239
0.6,0.7,5,7002100,662,2.6037735849056602,53,251
0.6,0.7,6,7002200,670,2.6923076923076925,52,247
0.6,0.7,7,7002300,675,2.2280701754385963,57,249
0.6,0.7,8,7002400,691,2.1363636363636362,44,249
0.6,0.7,9,7002500,680,2.3157894736842106,57,248
0.6,0.7,10,7002600,674,2.0476190476190474,63,251
0.6,0.7,11,7002700,682,2.0,53,246
0.6,0.7,12,7002800,679,3.0,39,246
0.6,0.7,13,7002900,661,3.2653061224489797,49,244
0.6,0.7,14,7003000,678,2.3404255319148937,47,256
0.6,0.7,15,7003100,692,2.236842105263158,38,241
0.6,0.7,16,7003200,690,1.5625,48,251
0.6,0.7,17,7003300,690,1.5072463768115942,69,234
0.6,0.7,18,7003400,668,2.6842105263157894,57,242
0.6,0.7,19,7003500,684,2.2448979591836733,49,252
0.8,0.7,0,7001800,675,2.52,50,250
0.8,0.7,1,7001900,692,1.9615384615384615,52,256
0.8,0.7,2,7002000,680,2.5833333333333335,48,239
0.8,0.7,3,7002100,663,3.1458333333333335,48,250
0.8,0.7,4,7002200,670,2.933333333333333,45,247
0.8,0.7,5,7002300,678,1.84375,64,250
0.8,0.7,6,7002400,677,2.215686274509804,51,245
0.8,0.7,7,7002500,669,2.759259259259259,54,244
0.8,0.7,8,7002600,652,3.3962264150943398,53,243
0.8,0.7,9,7002700,685,1.8518518518518519,54,247
0.8,0.7,10,7002800,675,2.8536585365853657,41,246
0.8,0.7,11,7002900,675,2.7857142857142856,42,249
0.8,0.7,12,7003000,679,2.239130434782609,46,257
0.8,0.7,13,7003100,668,3.6842105263157894,38,233
0.8,0.7,14,7003200,690,1.7083333333333333,48,251
0.8,0.7,15,7003300,677,1.6764705882352942,68,231
0.8,0.7,16,7003400,648,3.5,58,236
0.8,0.7,17,7003500,684,2.2448979591836733,49,252
0.8,0.7,18,7003600,676,2.0677966101694913,59,239
0.8,0.7,19,7003700,665,2.526315789473684,57,254
1.0,0.7,0,7002000,674,2.4642857142857144,56,237
1.0,0.7,1,7002100,667,2.5849056603773586,53,252
1.0,0.7,2,7002200,661,2.8679245283018866,53,244
1.0,0.7,3,7002300,676,2.15,60,249
1.0,0.7,4,7002400,677,2.215686274509804,51,245
1.0,0.7,5,7002500,653,3.4,50,238
1.0,0.7,6,7002600,652,3.3962264150943398,53,243
1.0,0.7,7,7002700,682,1.6666666666666667,60,246
1.0,0.7,8,7002800,675,3.076923076923077,39,246
1.0,0.7,9,7002900,675,2.5319148936170213,47,249
1.0,0.7,10,7003000,679,2.239130434782609,46,257
1.0,0.7,11,7003100,660,4.135135135135135,37,231
1.0,0.7,12,7003200,690,1.7222222222222223,54,251
1.0,0.7,13,7003300,694,1.5263157894736843,57,236
1.0,0.7,14,7003400,646,3.543859649122807,57,235
1.0,0.7,15,7003500,678,2.2830188679245285,53,250
1.0,0.7,16,7003600,674,2.5686274509803924,51,238
1.0,0.7,17,7003700,641,3.7169811320754715,53,246
1.0,0.7,18,7003800,674,2.3653846153846154,52,249
1.0,0.7,19,7003900,670,2.66,50,244
